hidden_states,queries,deterministic_query_sets_enumerated,minimum_average_success,maximum_average_success,exact_q_over_H,all_policies_equal_by_symmetry
4,1,4,0.25,0.25,0.25,True
4,2,6,0.5,0.5,0.5,True
4,4,1,1.0,1.0,1.0,True
8,1,8,0.125,0.125,0.125,True
8,2,28,0.25,0.25,0.25,True
8,4,70,0.5,0.5,0.5,True
12,1,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,True
12,2,66,0.16666666666666666,0.16666666666666666,0.16666666666666666,True
12,4,495,0.3333333333333333,0.3333333333333333,0.3333333333333333,True
16,1,16,0.0625,0.0625,0.0625,True
16,2,120,0.125,0.125,0.125,True
16,4,1820,0.25,0.25,0.25,True
