base,epsilon,T,m,ideal_hidden_cardinality,rounded_hidden_cardinality,target_region_mass,TV_forced_hit_probability,measured_query_quantile,exact_minimax_query_threshold,empirical_hit_rate,trials
1.25,0.25,12,4,5.9604644775390625,5,0.5984123020547851,0.2650789687214518,2,2,0.40109,100000
1.25,0.25,24,8,35.52713678800501,35,0.5109823074741406,0.17764897414080733,7,7,0.20072,100000
1.25,0.25,36,12,211.75823681357508,211,0.5020844131306821,0.16875107979734877,36,36,0.16898,100000
1.25,0.25,48,16,1262.177448353619,1262,0.5002333265055114,0.16689999317217813,211,211,0.167,100000
1.25,0.25,60,20,7523.16384526264,7523,0.50003867838445,0.16670534505111673,1259,1255,0.16678,100000
1.5,0.5,9,3,11.390625,11,0.5325054784514244,0.19917214511809106,3,3,0.27329,100000
1.5,0.5,15,5,57.6650390625,57,0.5073243236277095,0.1739909902943762,11,10,0.19109,100000
1.5,0.5,21,7,291.92926025390625,291,0.5016576415603028,0.16832430822696948,50,49,0.17182,100000
1.5,0.5,27,9,1477.8918800354004,1477,0.5003202351528483,0.16698690181951498,248,247,0.1673,100000
1.5,0.5,33,11,7481.8276426792145,7481,0.5000610768524696,0.16672774351913627,1243,1248,0.16682,100000
2.0,1.0,6,2,16.0,16,0.5161290322580645,0.1827956989247312,3,3,0.18554,100000
2.0,1.0,9,3,64.0,64,0.5039370078740157,0.17060367454068243,11,11,0.17185,100000
2.0,1.0,12,4,256.0,256,0.5009784735812133,0.16764514024787996,44,43,0.17113,100000
2.0,1.0,15,5,1024.0,1024,0.5002442598925256,0.16691092655919232,171,171,0.16751,100000
2.0,1.0,18,6,4096.0,4096,0.5000610426077402,0.1667277092744069,689,683,0.16686,100000
3.0,2.0,6,2,81.0,81,0.5031055900621118,0.16977225672877844,14,14,0.17279,100000
3.0,2.0,9,3,729.0,729,0.5003431708991077,0.16700983756577442,123,122,0.16814,100000
3.0,2.0,12,4,6561.0,6561,0.500038106851612,0.16670477351827867,1090,1094,0.16677,100000
3.0,2.0,15,5,59049.0,59049,0.500004233807802,0.1666709004744687,9924,9842,0.16669,100000
