c,T,epsilon,epsilon_times_T,delta_tv,minimum_N_measured,TV_at_minimum_N,measured_particle_time,theorem_sufficient_N,bound_to_measured_ratio
0.5,8,0.0625,0.5,0.02,4,0.016755709363878626,32,5174,1293.5
0.5,16,0.03125,0.5,0.02,3,0.016193089990663278,48,9179,3059.6666666666665
0.5,32,0.015625,0.5,0.02,2,0.017387279216698345,64,17207,8603.5
0.5,64,0.0078125,0.5,0.02,2,0.012380252554157322,128,33271,16635.5
0.5,128,0.00390625,0.5,0.02,1,0.01755656769378117,128,65406,65406.0
0.5,256,0.001953125,0.5,0.02,1,0.012440612457325688,256,129679,129679.0
1.0,8,0.125,1.0,0.02,7,0.018405533374976822,56,107374,15339.142857142857
1.0,16,0.0625,1.0,0.02,5,0.019049435301564707,80,189924,37984.8
1.0,32,0.03125,1.0,0.02,4,0.017223478184496887,128,352177,88044.25
1.0,64,0.015625,1.0,0.02,3,0.01642614625317539,192,675340,225113.33333333334
1.0,128,0.0078125,1.0,0.02,2,0.0175228770459053,256,1321030,660515.0
1.0,256,0.00390625,1.0,0.02,2,0.012428570402828775,512,2612103,1306051.5
2.0,8,0.25,2.0,0.02,12,0.018814754847627003,96,26779231,2231602.5833333335
2.0,16,0.125,2.0,0.02,9,0.019660345799834698,144,61269889,6807765.444444444
2.0,32,0.0625,2.0,0.02,7,0.018932752499500743,224,127993444,18284777.714285713
2.0,64,0.03125,2.0,0.02,5,0.0193310020397745,320,259221539,51844307.8
2.0,128,0.015625,2.0,0.02,4,0.017356803425595174,512,520201181,130050295.25
2.0,256,0.0078125,2.0,0.02,3,0.016495032180173487,768,1041318219,347106073.0
