T,L,epsilon,delta_tv,literal_N_bound,N_used,TV_at_literal_bound,independently_measured_minimum_N,TV_at_measured_minimum,bound_over_minimum_N,independent_path_enumeration_TV
3,1.02,0.010000000000000009,0.05,38.06964006061946,39,0.00019036821258970604,1,0.0074254999267204524,39.0,0.00019036821258970604
5,1.02,0.010000000000000009,0.05,71.4963721807013,72,0.00012888210283424142,1,0.00928157161681933,72.0,0.00012888210283424142
8,1.02,0.010000000000000009,0.05,136.83232816752025,137,7.97941291679719e-05,1,0.010881748457931495,137.0,7.97941291679719e-05
12,1.02,0.010000000000000009,0.05,260.6111221703849,261,5.1822442978693826e-05,1,0.013465281588993393,261.0,5.1822442978693826e-05
3,1.05,0.02499999999999991,0.05,54.068389514932356,55,0.0003322128634659083,1,0.018289055585380215,55.0,0.0003322128634659083
5,1.05,0.02499999999999991,0.05,121.19328800604696,122,0.00018709528202831213,1,0.022856786923299656,122.0,0.00018709528202831213
8,1.05,0.02499999999999991,0.05,302.43226906583374,303,8.997282183758758e-05,1,0.02698600231640563,303.0,8.997282183758758e-05
12,1.05,0.02499999999999991,0.05,820.5256395757752,821,4.1043777586269306e-05,1,0.033381862614357785,821.0,4.1043777586269306e-05
3,1.1,0.050000000000000044,0.05,95.44407086352275,96,0.0003703733217477398,1,0.03568729078933162,96.0,0.0003703733217477398
5,1.1,0.050000000000000044,0.05,285.6730640692697,286,0.00015504058365536227,1,0.04457541574020824,286.0,0.00015504058365536227
8,1.1,0.050000000000000044,0.05,1100.0100648585124,1101,4.9109736746799724e-05,2,0.026864593758421852,550.5,4.9109736746799724e-05
12,1.1,0.050000000000000044,0.05,5321.463597389544,5322,1.2515743287155252e-05,2,0.03315688359586091,2661.0,1.2515743287155252e-05
3,1.2,0.10000000000000009,0.05,281.1389075410466,282,0.0002378274787099982,2,0.033926558978211896,141.0,0.0002378274787099982
5,1.2,0.10000000000000009,0.05,1470.557208711938,1471,5.6515261494456334e-05,2,0.042203888927265225,735.5,5.6515261494456334e-05
8,1.2,0.10000000000000009,0.05,13081.88237631732,13082,8.02090872353996e-06,3,0.034971515057263716,4360.666666666667,8.02090872353996e-06
12,1.2,0.10000000000000009,0.05,193279.56645462706,193280,6.607657784646508e-07,3,0.04277460467784953,64426.666666666664,6.607657784646508e-07
