c,T,(1+c/T)^(6(T-1)),exp(6c)_upper_bound,inequality_holds
0.5,2,3.814697265625,20.085536923187668,True
0.5,3,6.358599558665295,20.085536923187668,True
0.5,5,9.84973267580763,20.085536923187668,True
0.5,10,13.938696110832286,20.085536923187668,True
0.5,100,19.348205140122847,20.085536923187668,True
0.5,10000,20.078006459829528,20.085536923187668,True
1.0,2,11.390625,403.4287934927351,True
1.0,3,31.569291793444595,403.4287934927351,True
1.0,5,79.49684720339077,403.4287934927351,True
1.0,10,171.87194770116267,403.4287934927351,True
1.0,100,368.8892733478676,403.4287934927351,True
1.0,10000,403.06589106986456,403.4287934927351,True
2.0,2,64.0,162754.79141900392,True
2.0,3,459.3936579977829,162754.79141900392,True
2.0,5,3214.199700417736,162754.79141900392,True
2.0,10,18870.66854784442,162754.79141900392,True
2.0,100,128381.37612093886,162754.79141900392,True
2.0,10000,162364.69373403525,162754.79141900392,True
