t,observed_tv,bound_2t_epsilon,within_bound
0,0.0,0.0,True
1,0.0,0.04000000000000048,True
2,0.009900005315687202,0.08000000000000096,True
3,0.009993988572030058,0.12000000000000144,True
4,0.014840776765266045,0.16000000000000192,True
5,0.014975223694559855,0.2000000000000024,True
6,0.018530637796827863,0.24000000000000288,True
7,0.01867659361623071,0.28000000000000336,True
8,0.02156679614722872,0.32000000000000384,True
9,0.02166294942761718,0.3600000000000043,True
10,0.024107538869675024,0.4000000000000048,True
